Словоформа,Частота (ipm),Капитализация
способствовать,13.03367,lower
способствует,20.121103,lower
способствуют,8.679103,lower
способы,24.745954,lower
Справа,7.597969,higher
справа,32.764364,lower
справедливо,22.884001,lower
справедливости,22.313403,lower
справедливость,14.385087,lower
справился,5.645921,lower
справиться,17.298142,lower
справки,8.01841,lower
справку,6.366677,lower
справляется,5.435701,lower
спрашивает,44.686868,lower
спрашивается,5.525796,lower
спрашивал,25.016237,lower
спрашивала,15.135875,lower
спрашивали,11.862441,lower
спрашивать,17.418268,lower
спрашиваю,24.535733,lower
спрашивают,10.661182,lower
спрос,23.66482,lower
спроса,20.751765,lower
спросил,234.786246,lower
спросила,113.12865,lower
спросили,14.355056,lower
спросит,6.156457,lower
спросите,5.766047,lower
спросить,36.338112,lower
спросом,6.066362,lower
спрятал,8.919355,lower
спрятать,6.516835,lower
спрятаться,7.838221,lower
спуск,6.066362,lower
спускается,5.82611,lower
спускаться,6.006299,lower
спустились,5.886173,lower
спустился,10.961497,lower
спуститься,8.078473,lower
Спустя,18.379276,higher
спустя,69.582979,lower
спутник,12.342945,lower
спутника,12.252851,lower
спутники,8.589008,lower
спутников,12.493103,lower
спят,10.991528,lower
Ср.,8.649071,higher
ср.,6.967307,lower
сравнение,12.04263,lower
сравнении,13.574237,lower
сравнению,58.080916,lower
сравнения,16.757576,lower
сравнивать,11.682252,lower
сравнительно,25.016237,lower
сравнить,16.156946,lower
сражаться,5.045292,lower
сражения,6.396709,lower
Сразу,29.340773,higher
сразу,418.999451,lower
среда,17.868741,lower
среде,50.512979,lower
Среди,79.973877,higher
среди,275.028453,lower
средневекового,5.045292,lower
средневековой,9.309764,lower
средневековых,6.546866,lower
Средневековья,7.537906,higher
среднего,39.881828,lower
среднее,10.090583,lower
Средней,8.61904,higher
средней,32.644238,lower
среднем,38.50038,lower
Средние,6.246551,higher
средние,8.108504,lower
Средний,6.036331,higher
средний,23.034158,lower
средним,6.907244,lower
средних,18.829749,lower
Средняя,5.585859,higher
средняя,13.934615,lower
средой,9.730205,lower
средств,98.983815,lower
средства,82.766807,lower
средствами,22.974095,lower
средствах,5.916205,lower
средство,23.845009,lower
средством,12.853481,lower
среду,29.340773,lower
среды,60.453404,lower
средь,10.931465,lower
сродни,7.207559,lower
Срок,5.976268,higher
срок,59.222113,lower
срока,17.598457,lower
сроки,20.961985,lower
сроков,6.456772,lower
сроком,8.61904,lower
срочно,25.917182,lower
ссоры,5.645921,lower
СССР,170.518842,higher
ссылаясь,6.306614,lower
ссылке,5.285544,lower
ссылки,10.991528,lower
ссылку,6.036331,lower
ссылок,5.495764,lower
ст.,32.343923,lower
ста,24.685891,lower
стабилизации,5.135386,lower
стабильно,5.045292,lower
стабильности,11.562126,lower
стабильность,9.009449,lower
став,13.604268,lower
ставил,14.745465,lower
ставила,5.495764,lower
ставили,12.853481,lower
ставит,25.67693,lower
ставится,7.41778,lower
ставить,26.127403,lower
ставка,8.528945,lower
ставки,16.967796,lower
ставку,12.282882,lower
ставок,6.757087,lower
ставшая,5.315575,lower
ставшего,6.516835,lower
ставшие,6.006299,lower
ставший,12.132725,lower
ставят,14.985717,lower
стада,7.748126,lower
стадии,29.28071,lower
стадию,5.435701,lower
стадия,5.105355,lower
стадиях,6.306614,lower
стадо,9.670142,lower
стаи,6.156457,lower
стакан,27.809167,lower
стакана,8.799229,lower
Стал,9.489953,higher
стал,466.569343,lower
стала,251.844137,lower
Стали,6.997339,higher
стали,319.985604,lower
Сталин,46.038285,higher
Сталина,51.413923,higher
Сталине,5.40567,higher
сталинского,6.156457,lower
сталинской,6.456772,lower
Сталину,11.261812,higher
Сталиным,6.877213,higher
сталкивается,5.045292,lower
сталкиваются,5.796079,lower
Стало,16.337135,higher
стало,291.125335,lower
сталь,6.42674,lower
стан,5.285544,lower
стандарт,7.477843,lower
стандарта,6.486803,lower
стандартам,5.465733,lower
стандартных,5.525796,lower
стандартов,11.982567,lower
стандарты,9.189638,lower
станем,7.597969,lower
станет,116.972682,lower
станешь,7.267622,lower
Станислав,6.997339,higher
становилась,13.904583,lower
становились,22.103182,lower
становилось,25.977245,lower
становился,19.130064,lower
становится,169.347613,lower
становиться,8.589008,lower
становление,6.847181,lower
становления,12.312914,lower
становясь,5.555827,lower
становятся,52.164711,lower
стану,17.147985,lower
станут,39.191104,lower
станции,56.248995,lower
станций,12.583197,lower
станцию,12.733355,lower
станция,12.372977,lower
станциях,5.045292,lower
старается,13.003638,lower
старалась,13.874552,lower
старались,17.628489,lower
старался,30.421907,lower
старательно,15.526284,lower
стараться,5.645921,lower
стараюсь,8.799229,lower
стараются,13.273922,lower
Старая,11.592158,higher
старая,26.758064,lower
стараясь,28.379765,lower
старение,7.02737,lower
старения,10.63115,lower
старец,7.597969,lower
Старик,18.139024,higher
старик,40.902899,lower
старика,20.091072,lower
старики,9.039481,lower
стариков,10.751276,lower
старинного,5.375638,lower
старинной,7.267622,lower
старинные,7.267622,lower
старинный,7.838221,lower
старинных,8.919355,lower
старину,5.916205,lower
старичок,7.958347,lower
Старого,5.645921,higher
старого,38.50038,lower
старое,13.484142,lower
Старой,8.61904,higher
старой,43.72586,lower
старом,14.144835,lower
старому,8.498914,lower
старости,23.66482,lower
старость,10.03052,lower
старт,6.036331,lower
старта,6.186488,lower
Старуха,8.709134,higher
старуха,18.679591,lower
старухи,8.889323,lower
старушка,14.174867,lower
старушки,7.808189,lower
старую,15.586347,lower
старца,5.375638,lower
старшая,9.279733,lower
старше,33.995655,lower
старшего,24.806017,lower
старшей,8.558977,lower
старшему,6.366677,lower
старшие,8.799229,lower
Старший,9.189638,higher
старший,33.575214,lower
старшим,10.63115,lower
старших,16.217009,lower
Старыгин,13.934615,higher
Старые,5.82611,higher
старые,45.287498,lower
Старый,12.793418,higher
старый,55.017703,lower
старым,17.027859,lower
старыми,8.739166,lower
старых,42.91501,lower
статей,29.911371,lower
стати,5.01526,lower
статистика,9.099544,lower
статистике,6.21652,lower
статистики,8.408819,lower
статуи,8.378788,lower
статус,40.932931,lower
статуса,18.199087,lower
статусе,7.237591,lower
статуя,5.075323,lower
стать,152.049471,lower
статье,48.170522,lower
статьей,6.516835,lower
статьи,66.820082,lower
статью,36.037797,lower
Статья,11.291843,higher
статья,35.587324,lower
статьях,6.697024,lower
стая,6.156457,lower
ствол,10.120615,lower
ствола,6.096394,lower
стволов,5.375638,lower
стволы,6.937276,lower
стекла,27.2686,lower
стекле,6.757087,lower
стекло,29.671119,lower
стеклом,10.991528,lower
стеклу,7.147496,lower
стеклянной,6.727055,lower
стеклянные,5.766047,lower
стекол,5.045292,lower
стен,28.229607,lower
стена,16.03682,lower
стенам,8.949386,lower
стенами,11.261812,lower
стенах,28.109482,lower
стене,56.068806,lower
стенке,9.700174,lower
стенки,13.03367,lower
стенку,8.198599,lower
стеной,18.319213,lower
стену,32.073639,lower
Стены,6.276583,higher
стены,84.208319,lower
Степан,26.037308,higher
Степана,6.697024,higher
Степанович,7.718095,higher
степени,115.260887,lower
степень,31.713261,lower
степенью,7.748126,lower
степи,18.169056,lower
степь,8.498914,lower
стереотипы,5.225481,lower
стесняясь,5.135386,lower
Стеша,12.583197,higher
стиле,30.001466,lower
стиль,31.89345,lower
стилю,7.02737,lower
стиля,24.896111,lower
стих,7.237591,lower
стихами,11.952536,lower
стихах,19.610568,lower
Стихи,9.640111,higher
стихи,107.632886,lower
стихии,7.41778,lower
стихов,36.127891,lower
стихотворение,26.848159,lower
стихотворении,8.889323,lower
стихотворений,11.982567,lower
стихотворения,17.328174,lower
Сто,9.159607,higher
сто,88.622949,lower
стоил,6.576898,lower
стоила,6.066362,lower
стоили,5.01526,lower
Стоило,7.087433,higher
стоило,31.29282,lower
стоим,6.006299,lower
стоимости,24.26545,lower
Стоимость,9.610079,higher
стоимость,40.332301,lower
стоимостью,9.399859,lower
Стоит,27.839198,higher
стоит,267.880956,lower
стоить,8.378788,lower
стоишь,5.61589,lower
Стой,5.675953,higher
стойке,5.736016,lower
стойки,7.147496,lower
Стокгольме,5.495764,higher
стол,106.131312,lower
стола,61.744759,lower
столами,5.01526,lower
столб,8.919355,lower
столбы,6.306614,lower
столе,48.681057,lower
столетие,7.748126,lower
столетии,6.246551,lower
столетий,10.210709,lower
столетия,33.034647,lower
столик,17.748615,lower
столика,5.465733,lower
столике,5.856142,lower
столиком,9.009449,lower
столица,10.841371,lower
столице,25.646899,lower
столицей,7.447811,lower
столицу,18.64956,lower
столицы,29.611056,lower
столичных,6.967307,lower
столкновение,5.796079,lower
столкновения,11.171717,lower
столкнулись,8.048441,lower
столкнулся,7.297654,lower
столов,5.255512,lower
столовой,18.589497,lower
столовую,7.928315,lower
столом,62.735798,lower
столу,27.47882,lower
столы,11.652221,lower
Столыпина,5.976268,higher
Столь,6.847181,higher
столь,137.934667,lower
Столько,7.838221,higher
столько,146.974148,lower
Стоп,5.165418,higher
стопку,6.096394,lower
Сторожев,5.705984,higher
сторон,55.137829,lower
сторона,21.622678,lower
сторонам,24.385576,lower
стороне,72.586129,lower
сторонники,7.838221,lower
сторонников,11.291843,lower
стороной,18.979906,lower
сторону,205.235253,lower
стороны,326.472408,lower
стою,10.330835,lower
стоя,18.229119,lower
стоявший,5.285544,lower
стоял,115.290918,lower
стояла,70.213641,lower
стояли,69.913326,lower
стояло,13.754426,lower
стоянки,6.456772,lower
стоят,56.008743,lower
стоять,31.623167,lower
стоящего,7.02737,lower
стоящие,6.907244,lower
стоящий,7.357717,lower
стоящих,7.898284,lower
стр.,7.147496,lower
страдает,11.802378,lower
страдал,8.949386,lower
страдание,7.177528,lower
страданий,7.447811,lower
страдания,14.054741,lower
страдать,7.117465,lower
страдают,8.138536,lower
стран,126.252415,lower
Страна,10.300804,higher
страна,62.315357,lower
странам,10.180678,lower
странами,14.625339,lower
странах,85.980177,lower
стране,176.014606,lower
страниц,25.166395,lower
страница,5.946236,lower
страницах,24.295481,lower
странице,14.084772,lower
страницу,10.270772,lower
страницы,26.217497,lower
странная,13.874552,lower
Странно,20.901922,higher
странно,65.468664,lower
странного,9.369827,lower
странное,21.442489,lower
странной,12.43304,lower
странную,6.697024,lower
странные,18.409308,lower
странный,19.370316,lower
странным,21.86293,lower
странных,8.468882,lower
страной,19.310253,lower
страну,56.75953,lower
страны,244.035947,lower
страстей,7.447811,lower
страсти,19.85082,lower
страстно,9.129575,lower
страсть,17.808678,lower
страстью,6.546866,lower
Стратегии,5.555827,higher
стратегии,33.154773,lower
стратегий,8.138536,lower
стратегических,7.778158,lower
стратегического,7.357717,lower
стратегию,9.940426,lower
стратегия,13.694363,lower
Страх,7.387748,higher
страх,47.089388,lower
страха,37.50934,lower
страхе,5.796079,lower
страхи,6.456772,lower
страхования,9.730205,lower
страховой,5.315575,lower
страхом,11.532095,lower
страшная,12.252851,lower
страшнее,8.919355,lower
Страшно,8.138536,higher
страшно,83.157216,lower
страшного,15.976757,lower
страшное,18.529434,lower
страшной,14.204898,lower
страшную,7.808189,lower
страшные,13.303953,lower
страшный,14.895623,lower
страшным,8.528945,lower
страшных,6.907244,lower
стрелки,8.649071,lower
стрелы,7.958347,lower
стрелял,5.255512,lower
стреляли,5.555827,lower
стрелять,13.063701,lower
стремились,11.712284,lower
стремился,14.505213,lower
стремительно,30.542033,lower
стремится,19.280221,lower
стремиться,8.679103,lower
стремление,28.830237,lower
стремлением,6.006299,lower
стремлении,5.82611,lower
стремления,5.976268,lower
стремясь,7.447811,lower
стремятся,12.222819,lower
стресс,8.649071,lower
стресса,6.186488,lower
строгий,9.790268,lower
строгим,6.937276,lower
Строго,6.42674,higher
строго,58.201042,lower
строгого,5.075323,lower
строгой,6.21652,lower
строение,12.132725,lower
строения,15.736505,lower
строил,8.438851,lower
строили,12.312914,lower
строит,7.808189,lower
строителей,5.946236,lower
строители,5.195449,lower
строительных,7.838221,lower
строительства,46.488758,lower
строительстве,16.63745,lower
Строительство,5.82611,higher
строительство,46.308569,lower
строительством,5.01526,lower
строительству,8.649071,lower
строится,10.240741,lower
строить,38.470348,lower
строй,17.778646,lower
строк,14.294993,lower
строки,25.196426,lower
строчки,13.934615,lower
строю,6.697024,lower
строя,20.271261,lower
строят,8.378788,lower
структур,25.887151,lower
структура,25.67693,lower
структурами,5.105355,lower
структурах,5.01526,lower
структуре,22.583686,lower
структурных,6.486803,lower
структурой,6.907244,lower
структуру,25.977245,lower
структуры,52.3449,lower
струны,5.375638,lower
Студент,5.40567,higher
студент,14.925654,lower
студента,10.661182,lower
студентам,9.039481,lower
студентами,9.159607,lower
студентов,48.050396,lower
студентом,7.147496,lower
студенты,27.118442,lower
студенческие,5.61589,lower
студенческих,5.225481,lower
студенческой,5.255512,lower
студии,14.415119,lower
студию,5.135386,lower
стук,11.922504,lower
стул,24.595796,lower
стула,13.754426,lower
стуле,10.721245,lower
стульев,7.718095,lower
стулья,8.769197,lower
ступени,9.760237,lower
ступеньки,5.105355,lower
ступни,5.075323,lower
стучать,5.225481,lower
стучит,6.336646,lower
стыд,6.456772,lower
стыда,9.159607,lower
стыдно,27.989356,lower
субботам,5.465733,lower
субботу,18.679591,lower
субъект,9.279733,lower
субъекта,15.496253,lower
субъектов,21.892962,lower
сугубо,19.670631,lower
Суд,8.589008,higher
суд,58.921798,lower
Суда,5.165418,higher
суда,41.683718,lower
судах,5.435701,lower
суде,13.364016,lower
судеб,7.628,lower
судебного,5.105355,lower
судебной,7.537906,lower
судебных,6.306614,lower
судей,15.466221,lower
судить,27.86923,lower
судна,9.910394,lower
судно,8.919355,lower
судов,18.018898,lower
судом,9.279733,lower
судорожно,7.507874,lower
суды,6.156457,lower
Судьба,11.411969,higher
судьба,51.654175,lower
судьбе,24.655859,lower
судьбой,11.682252,lower
судьбу,30.662159,lower
судьбы,46.098348,lower
судьи,35.617356,lower
Судья,7.357717,higher
судья,28.499891,lower
Судя,25.256489,higher
судя,43.155262,lower
суеты,5.375638,lower
суждений,5.766047,lower
суждения,8.048441,lower
суждено,10.901434,lower
сука,9.339796,lower
сулико,5.165418,lower
сумасшедший,8.378788,lower
сумеет,6.336646,lower
сумел,29.520962,lower
сумела,7.207559,lower
сумели,10.871402,lower
сумерках,8.318725,lower
сумерки,6.246551,lower
сумка,5.075323,lower
сумке,6.246551,lower
сумки,19.520473,lower
сумку,23.154284,lower
сумма,18.229119,lower
сумме,8.348756,lower
сумму,31.953513,lower
суммы,17.388237,lower
сунул,15.466221,lower
сунула,6.937276,lower
суп,14.895623,lower
супруга,14.985717,lower
супруги,12.703323,lower
супругов,5.01526,lower
супругой,5.285544,lower
сурово,8.378788,lower
суровый,5.375638,lower
сути,80.694633,lower
сутки,29.100521,lower
суток,25.797056,lower
Суть,10.300804,higher
суть,41.92397,lower
сухие,8.108504,lower
сухим,6.006299,lower
сухих,5.916205,lower
сухо,9.339796,lower
сухого,5.82611,lower
сухой,18.619528,lower
суше,7.597969,lower
суши,9.730205,lower
существ,15.346095,lower
существа,26.517812,lower
существенно,48.5309,lower
существенное,9.339796,lower
существенные,7.748126,lower
существенный,6.036331,lower
существенным,6.42674,lower
существенных,5.736016,lower
существо,29.520962,lower
существовал,12.943575,lower
существовала,12.943575,lower
существовали,15.586347,lower
существовало,21.2623,lower
существование,39.461387,lower
существовании,15.826599,lower
существования,57.270065,lower
существовать,25.376615,lower
существом,8.138536,lower
существу,18.559465,lower
Существует,15.766536,higher
существует,105.981154,lower
Существуют,8.378788,higher
существуют,41.263277,lower
существующего,5.705984,lower
существующей,7.297654,lower
существующие,9.880363,lower
существующих,15.195938,lower
сущности,37.779624,lower
сущность,16.817639,lower
сфер,8.979418,lower
сфера,10.120615,lower
сферах,14.325024,lower
сфере,78.292114,lower
сферу,15.916694,lower
сферы,32.313891,lower
Сфинкс,15.826599,higher
сформировать,7.297654,lower
сформулировал,7.507874,lower
сформулировать,8.799229,lower
схватил,19.400347,lower
схватила,9.309764,lower
схватился,5.285544,lower
схватить,6.006299,lower
схем,5.285544,lower
схема,14.144835,lower
схеме,11.141686,lower
схему,10.450961,lower
схемы,15.586347,lower
сходил,6.156457,lower
сходит,5.105355,lower
сходить,11.411969,lower
сходства,6.486803,lower
сходство,18.199087,lower
сходятся,5.976268,lower
сцен,7.447811,lower
сцена,16.997827,lower
сценарии,7.748126,lower
сценарий,20.331324,lower
сценарию,6.757087,lower
сценария,8.528945,lower
сцене,40.362332,lower
сценой,5.195449,lower
сцену,26.788096,lower
сцены,33.90556,lower
сч.,19.490442,lower
счастлив,15.526284,lower
счастлива,8.258662,lower
счастливая,6.757087,lower
счастливо,10.841371,lower
счастливой,11.23178,lower
счастливы,9.21967,lower
счастливые,7.207559,lower
счастливый,9.760237,lower
счастливым,10.541056,lower
счастье,56.1589,lower
счастьем,7.057402,lower
счастью,38.770663,lower
счастья,46.428695,lower
счел,6.126425,lower
счет,113.819375,lower
счета,12.913544,lower
счете,15.64641,lower
счетов,5.525796,lower
счетом,5.255512,lower
счету,20.481481,lower
считаем,8.589008,lower
считает,70.00342,lower
считаете,7.447811,lower
Считается,11.141686,higher
считается,45.52775,lower
считаешь,6.366677,lower
считай,7.357717,lower
считал,53.516128,lower
считала,16.697513,lower
считалась,9.610079,lower
считали,34.566253,lower
считались,9.489953,lower
считалось,22.313403,lower
считался,13.934615,lower
считанные,5.345607,lower
считать,87.631909,lower
считаться,13.484142,lower
считаю,28.529922,lower
считают,62.105136,lower
считаются,9.910394,lower
считая,21.2623,lower
счёт,17.958835,lower
США,192.622024,higher
съезд,10.541056,lower
съезда,12.523134,lower
съезде,9.159607,lower
съездить,6.967307,lower
съел,8.769197,lower
съели,5.946236,lower
съемки,9.940426,lower
съемок,5.40567,lower
съесть,10.390898,lower
сыграл,12.493103,lower
сыграла,7.177528,lower
сыграли,8.558977,lower
сыграть,14.985717,lower
Сын,25.46671,higher
сын,141.238132,lower
Сына,7.537906,higher
сына,114.239816,lower
сыне,5.135386,lower
сынов,10.42093,lower
сыновей,22.553654,lower
Сыновья,7.117465,higher
сыновья,14.174867,lower
сыновьями,5.075323,lower
сынок,9.8203,lower
сыном,28.650048,lower
сыну,29.370804,lower
сыны,6.156457,lower
сыр,10.571087,lower
сыра,7.718095,lower
сырой,8.919355,lower
сыром,6.937276,lower
сырье,7.447811,lower
сырья,16.126914,lower
сэкономить,5.375638,lower
Сюда,13.424079,higher
сюда,138.775549,lower
Сюжет,6.606929,higher
сюжет,32.734332,lower
сюжета,14.955686,lower
сюжетов,9.369827,lower
сюжетом,5.255512,lower
сюжеты,15.135875,lower
сюрприз,7.898284,lower
т,18.499402,lower
Т.,77.21098,higher
т.,225.716734,lower
Та,34.686379,higher
та,140.217061,lower
табака,5.135386,lower
Табаки,14.084772,higher
таблетки,12.312914,lower
таблеток,5.045292,lower
Таблица,8.138536,higher
таблице,5.555827,lower
таблицы,7.207559,lower
табличка,5.495764,lower
таблички,5.495764,lower
тайге,12.012599,lower
тайги,5.525796,lower
тайгу,6.396709,lower
тайком,7.477843,lower
тайн,6.336646,lower
тайна,13.724394,lower
тайне,5.916205,lower
тайно,13.544205,lower
тайного,5.886173,lower
тайное,5.285544,lower
тайной,11.652221,lower
тайну,15.616379,lower
тайны,17.958835,lower
тайные,5.225481,lower
тайный,6.697024,lower
тайных,7.297654,lower
Так,727.302802,higher
так,2530.54406,lower
так-то,10.511024,lower
Такая,42.464537,higher
такая,208.478654,lower
Также,30.48197,higher
также,582.881332,lower
таки,40.062017,lower
Такие,52.525089,higher
такие,298.062611,lower
Таким,103.09813,higher
таким,209.229442,lower
такими,60.723688,lower
Таких,15.766536,higher
таких,277.79135,lower
Таков,5.525796,higher
таков,13.724394,lower
Такова,6.366677,higher
такова,15.346095,lower
такового,5.886173,lower
таковой,12.763386,lower
таковы,7.02737,lower
таковым,6.336646,lower
таковых,7.02737,lower
Такого,15.496253,higher
такого,225.326325,lower
Такое,39.31123,higher
такое,338.635164,lower
Такой,51.35386,higher
такой,507.472242,lower
такой-то,5.255512,lower
таком,87.091342,lower
такому,25.556804,lower
такси,26.547844,lower
такт,8.408819,lower
Такую,7.898284,higher
такую,98.293091,lower
талант,20.331324,lower
таланта,9.369827,lower
талантливый,9.339796,lower
талантливых,7.327685,lower
талантов,6.186488,lower
талантом,5.255512,lower
таланты,5.465733,lower
талии,5.645921,lower
Там,223.944876,higher
там,917.101866,lower
Тамара,32.28386,higher
Тамары,6.306614,higher
танец,12.733355,lower
танк,7.958347,lower
танки,11.111654,lower
танков,5.976268,lower
танца,6.366677,lower
танцев,5.105355,lower
танцевать,9.489953,lower
танцы,11.652221,lower
Танька,5.705984,higher
Таня,26.728033,higher
тапочки,5.82611,lower
тарелке,5.585859,lower
тарелки,14.084772,lower
тарелку,13.6343,lower
Тарковского,5.736016,higher
Татарников,6.81715,higher
Татьяна,37.118931,higher
Татьяны,8.318725,higher
Тахо-Годи,5.285544,higher
тащит,5.345607,lower
тащить,5.495764,lower
Тбилиси,10.060552,higher
ТВ,10.871402,higher
тварь,5.675953,lower
твердо,24.145324,lower
твердой,7.327685,lower
Тверской,8.498914,higher
Твое,7.507874,higher
твое,24.235418,lower
твоего,28.589985,lower
твоей,37.389214,lower
твоем,8.859292,lower
твоему,8.468882,lower
Твои,9.550016,higher
твои,47.029325,lower
твоим,15.316064,lower
твоих,22.823938,lower
Твой,14.355056,higher
твой,66.669924,lower
творение,5.736016,lower
творения,8.168567,lower
творит,5.856142,lower
творится,10.991528,lower
творить,8.318725,lower
творческая,7.357717,lower
творческие,9.42989,lower
творческий,11.261812,lower
творческих,13.093733,lower
творческого,12.733355,lower
творческое,5.075323,lower
творческой,18.889812,lower
творчества,45.227435,lower
творчестве,18.379276,lower
творчество,23.66482,lower
творчеством,8.108504,lower
творчеству,8.348756,lower
твою,25.286521,lower
Твоя,11.321874,higher
твоя,46.098348,lower
твоё,5.135386,lower
Те,39.821765,higher
те,348.635653,lower
Театр,9.099544,higher
театр,50.693168,lower
театра,54.176821,lower
театрального,5.916205,lower
театральной,6.847181,lower
театральный,5.886173,lower
театральных,7.808189,lower
театре,33.965623,lower
театров,7.207559,lower
театром,6.81715,lower
театры,5.61589,lower
Тебе,50.482947,higher
тебе,426.056853,lower
Тебя,28.559954,higher
тебя,515.46062,lower
тезис,10.42093,lower
текла,5.255512,lower
текли,5.255512,lower
Текст,10.480993,higher
текст,76.159877,lower
текста,48.380742,lower
текстами,5.796079,lower
текстах,12.613229,lower
тексте,19.009938,lower
текстов,32.28386,lower
текстом,12.162756,lower
тексту,8.889323,lower
тексты,36.037797,lower
текущего,10.781308,lower
текущей,6.636961,lower
текущем,5.645921,lower
текущих,6.366677,lower
тел,19.610568,lower
тела,106.942162,lower
телами,5.225481,lower
теле,23.484631,lower
телевидение,13.394048,lower
телевидении,7.898284,lower
телевидению,5.946236,lower
телевидения,11.442,lower
телевизор,29.310741,lower
телевизора,11.351906,lower
телевизору,16.24704,lower
телеграмму,5.465733,lower
телескоп,7.267622,lower
Телефон,6.42674,higher
телефон,60.663625,lower
телефона,21.232269,lower
телефонной,6.727055,lower
телефонный,7.147496,lower
телефонов,7.688063,lower
телефоном,5.705984,lower
телефону,35.196915,lower
телефоны,9.880363,lower
Тело,10.63115,higher
тело,103.068099,lower
телом,28.229607,lower
телу,15.976757,lower
Тем,129.615942,higher
тем,707.061573,lower
Тема,19.790757,higher
тема,45.347561,lower
тематике,6.276583,lower
теме,27.689041,lower
теми,40.242206,lower
темная,8.649071,lower
темно,34.085749,lower
темного,7.928315,lower
темное,8.168567,lower
темной,15.586347,lower
темном,7.718095,lower
темнота,6.456772,lower
темноте,33.755403,lower
темноту,10.120615,lower
темноты,12.853481,lower
темную,6.42674,lower
темные,17.65852,lower
темный,10.210709,lower
темным,7.087433,lower
темными,5.916205,lower
темных,11.472032,lower
темой,14.625339,lower
темп,6.096394,lower
темпами,7.087433,lower
температур,6.576898,lower
температура,25.977245,lower
температуре,13.213859,lower
температурой,5.225481,lower
температуру,10.661182,lower
температуры,22.643749,lower
темпов,5.61589,lower
темпы,12.342945,lower
тему,69.462853,lower
темы,50.963451,lower
тенденции,22.283371,lower
тенденций,9.159607,lower
тенденцию,7.357717,lower
тенденция,16.03682,lower
тени,42.854947,lower
тень,28.529922,lower
тенью,6.787118,lower
теоретик,5.465733,lower
Теоретически,5.856142,higher
теоретически,13.724394,lower
теоретические,7.628,lower
теоретических,8.048441,lower
теоретической,9.880363,lower
теорией,7.748126,lower
теории,78.322145,lower
теорий,8.078473,lower
теорию,20.571576,lower
Теория,14.895623,higher
теория,32.854458,lower
Теперь,207.607741,higher
теперь,575.133205,lower
тепла,17.598457,lower
теплая,6.757087,lower
тепло,38.920821,lower
теплое,6.366677,lower
теплой,9.8203,lower
теплом,8.348756,lower
теплые,9.039481,lower
Теплый,6.246551,higher
теплый,11.351906,lower
теплым,6.757087,lower
теплых,5.045292,lower
терапии,9.309764,lower
термин,29.310741,lower
термина,8.558977,lower
терминах,6.907244,lower
терминов,6.21652,lower
терминологии,5.886173,lower
термином,5.345607,lower
термины,6.336646,lower
терпел,6.276583,lower
терпеливо,14.44515,lower
терпение,8.01841,lower
терпения,5.225481,lower
терпеть,21.502552,lower
терпит,6.096394,lower
территории,113.158682,lower
территорий,16.397198,lower
территорию,24.715922,lower
территория,13.664331,lower
территориях,7.117465,lower
террора,5.645921,lower
террористов,5.225481,lower
теряет,15.64641,lower
теряется,5.465733,lower
терять,13.273922,lower
теряют,9.069512,lower
теряя,7.988378,lower
тесно,24.445639,lower
тесной,6.636961,lower
тест,8.22863,lower
теста,7.237591,lower
тестирования,6.396709,lower
тесто,7.357717,lower
тесты,5.045292,lower
тете,5.045292,lower
Тетерин,6.877213,higher
тети,10.961497,lower
тетка,15.526284,lower
тетки,8.679103,lower
тетради,9.459922,lower
тетрадь,11.472032,lower
тетю,5.645921,lower
Тетя,27.148474,higher
тетя,41.053057,lower
Тех,5.045292,higher
тех,389.088079,lower
техника,17.958835,lower
технике,14.23493,lower
техники,52.194742,lower
техникой,7.748126,lower
технику,13.544205,lower
технически,6.21652,lower
технические,15.225969,lower
технический,9.369827,lower
техническим,7.507874,lower
технических,27.779135,lower
технического,17.838709,lower
техническое,8.108504,lower
технической,18.829749,lower
технологии,80.754696,lower
технологий,91.596067,lower
технологические,7.117465,lower
технологический,6.727055,lower
технологических,10.571087,lower
технологического,12.372977,lower
технологической,8.138536,lower
технологию,10.901434,lower
Технология,6.366677,higher
технология,16.757576,lower
технологиям,8.438851,lower
технологиями,7.357717,lower
технологиях,6.246551,lower
течение,116.852556,lower
течением,7.838221,lower
течению,8.408819,lower
течения,10.901434,lower
течет,11.862441,lower
Тимофей,21.322363,higher
Тимошенко,7.057402,higher
Тимур,10.691213,higher
тип,36.067828,lower
типа,106.551753,lower
типично,5.285544,lower
типичный,6.937276,lower
типов,21.2623,lower
типографии,5.195449,lower
типу,9.700174,lower
типы,12.072662,lower
тираж,5.766047,lower
тиражом,5.796079,lower
титул,6.877213,lower
тихая,6.156457,lower
тихие,5.195449,lower
Тихий,10.901434,higher
тихий,13.454111,lower
тихим,8.889323,lower
Тихо,7.988378,higher
тихо,95.680351,lower
Тихого,6.606929,higher
тихой,8.258662,lower
Тихон,6.42674,higher
тихонько,14.535245,lower
тише,7.748126,lower
Тишина,6.066362,higher
тишина,22.703812,lower
тишине,12.583197,lower
тишину,7.958347,lower
тишины,7.838221,lower
Тишка,5.045292,higher
тканей,16.006788,lower
ткани,39.491419,lower
ткань,17.418268,lower
ткнул,7.507874,lower
То,232.86423,higher
то,2885.726579,lower
То-то,6.81715,higher
то-то,5.165418,lower
тобой,103.69876,lower
тобою,10.571087,lower
товар,20.511513,lower
товара,10.450961,lower
Товарищ,9.580048,higher
товарищ,35.857608,lower
товарища,17.628489,lower
товарищами,5.165418,lower
